epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4255,1.13001,3.17876,1.36483,0.58789,0.44656,0.48496,0.30986,1.19235,1.93338,1.35554,0.000138393,0.000138393,0.000138393
2,176.419,1.19876,2.27749,1.4215,0.48338,0.50122,0.46214,0.26583,1.35751,1.93656,1.52667,0.000271901,0.000271901,0.000271901
3,261.673,1.22654,2.21141,1.45182,0.53544,0.45724,0.45898,0.26716,1.34455,1.99211,1.51733,0.000399904,0.000399904,0.000399904
4,346.439,1.22883,2.13094,1.44893,0.50575,0.4759,0.47132,0.28091,1.3441,1.84105,1.5082,0.00039223,0.00039223,0.00039223
5,431.142,1.21621,2.05315,1.43943,0.59266,0.4764,0.50111,0.30041,1.32609,1.7744,1.50513,0.000383974,0.000383974,0.000383974
6,516.397,1.18673,1.95269,1.4135,0.56625,0.5108,0.53219,0.31599,1.32141,1.72678,1.48856,0.000375717,0.000375717,0.000375717
7,601.701,1.16948,1.90834,1.40565,0.55479,0.47183,0.48905,0.29335,1.32671,1.81381,1.49537,0.00036746,0.00036746,0.00036746
8,687.484,1.17257,1.85237,1.40723,0.59883,0.48581,0.52925,0.31956,1.31824,1.72781,1.4826,0.000359204,0.000359204,0.000359204
9,772.714,1.16312,1.79397,1.39887,0.62688,0.50522,0.55693,0.34004,1.28448,1.63383,1.46129,0.000350947,0.000350947,0.000350947
10,857.796,1.16024,1.75636,1.4004,0.64322,0.53942,0.57388,0.35263,1.29121,1.61886,1.44914,0.000342691,0.000342691,0.000342691
11,942.581,1.13869,1.70613,1.3806,0.64066,0.52248,0.56373,0.34579,1.29499,1.60799,1.44701,0.000334434,0.000334434,0.000334434
12,1027.9,1.13043,1.68977,1.37443,0.66963,0.51749,0.58976,0.36416,1.29955,1.59435,1.44464,0.000326177,0.000326177,0.000326177
13,1114.05,1.1211,1.62601,1.37814,0.61754,0.57978,0.5956,0.36704,1.28802,1.53048,1.45395,0.000317921,0.000317921,0.000317921
14,1199.87,1.11368,1.60519,1.36372,0.63732,0.54883,0.5819,0.35873,1.29517,1.60931,1.4552,0.000309664,0.000309664,0.000309664
15,1284.84,1.10542,1.58368,1.35661,0.65818,0.54309,0.60366,0.38501,1.25706,1.5257,1.41999,0.000301408,0.000301408,0.000301408
16,1370.5,1.09086,1.54163,1.34729,0.66798,0.53924,0.59299,0.37895,1.26517,1.5494,1.42638,0.000293151,0.000293151,0.000293151
17,1455.73,1.1016,1.52659,1.34692,0.62527,0.5938,0.61294,0.38612,1.26516,1.49744,1.43245,0.000284894,0.000284894,0.000284894
18,1541.55,1.08887,1.50413,1.33876,0.6419,0.57668,0.61217,0.38425,1.26874,1.5095,1.42843,0.000276638,0.000276638,0.000276638
19,1627.33,1.08365,1.47003,1.3361,0.66803,0.57008,0.61972,0.39249,1.24202,1.46478,1.4062,0.000268381,0.000268381,0.000268381
20,1712.23,1.07221,1.43149,1.32815,0.65531,0.56925,0.616,0.38562,1.26966,1.4759,1.41089,0.000260125,0.000260125,0.000260125
21,1796.92,1.05383,1.42493,1.31545,0.67165,0.59904,0.63464,0.40266,1.24923,1.41505,1.41529,0.000251868,0.000251868,0.000251868
22,1882.65,1.05803,1.38476,1.31517,0.67116,0.58643,0.63708,0.4135,1.25259,1.44224,1.41863,0.000243611,0.000243611,0.000243611
23,1968.67,1.04213,1.3663,1.30727,0.64128,0.60845,0.64343,0.41616,1.23348,1.4076,1.40297,0.000235355,0.000235355,0.000235355
24,2054.42,1.04385,1.34972,1.30777,0.67009,0.59476,0.64558,0.42069,1.22695,1.41331,1.39797,0.000227098,0.000227098,0.000227098
25,2140.14,1.02806,1.31858,1.28827,0.68622,0.57417,0.6363,0.41186,1.22543,1.39605,1.38639,0.000218842,0.000218842,0.000218842
26,2225.44,1.02099,1.30971,1.29547,0.70925,0.58117,0.65145,0.42481,1.22942,1.37877,1.38946,0.000210585,0.000210585,0.000210585
27,2310.87,1.01907,1.30569,1.29575,0.69856,0.58952,0.64859,0.42742,1.21253,1.37082,1.38098,0.000202328,0.000202328,0.000202328
28,2396.76,1.00793,1.27623,1.27977,0.70208,0.58752,0.64427,0.41937,1.21275,1.39048,1.38053,0.000194072,0.000194072,0.000194072
29,2483.5,0.99726,1.26472,1.26713,0.70641,0.56134,0.64232,0.42153,1.21952,1.39685,1.39,0.000185815,0.000185815,0.000185815
30,2570.03,1.01708,1.25908,1.27832,0.68178,0.61013,0.65022,0.42123,1.20179,1.34652,1.37196,0.000177559,0.000177559,0.000177559
31,2655.81,0.99247,1.22761,1.26789,0.69518,0.60698,0.66068,0.43554,1.20636,1.3575,1.37258,0.000169302,0.000169302,0.000169302
32,2741.59,0.98945,1.21557,1.26395,0.67793,0.59648,0.6529,0.42511,1.21635,1.36084,1.38585,0.000161045,0.000161045,0.000161045
33,2827.72,0.98546,1.19247,1.25741,0.68882,0.61671,0.66779,0.43984,1.20506,1.32504,1.37252,0.000152789,0.000152789,0.000152789
34,2912.43,0.98943,1.18611,1.25635,0.72882,0.58981,0.66647,0.44103,1.20561,1.31901,1.36517,0.000144532,0.000144532,0.000144532
35,2997.07,0.96653,1.17844,1.25737,0.72655,0.59339,0.67339,0.44971,1.19763,1.32027,1.36538,0.000136276,0.000136276,0.000136276
36,3081.63,0.96456,1.15494,1.24591,0.7291,0.59147,0.66834,0.43767,1.21458,1.32905,1.36711,0.000128019,0.000128019,0.000128019
